27_86_beat1,27_86_beat2,27_86_beat3,27_27_beat4,27_75_beat5,27_63_beat6,27_82_beat7,27_82_beat8,27_82_beat9,27_79_beat10,27_79_beat11,27_79_beat12,27_90_beat13,27_90_beat14,27_90_beat15,27_80_beat16,27_13_beat17,27_13_beat18,27_23_beat19,27_23_beat20,27_23_beat21,27_83_beat22,27_83_beat23,27_83_beat24,27_83_beat25,27_19_beat1
-0.0182076786700511,0.0433783596316383,0.0790723751672364,0.0107479135753265,0.0543987652513644,-0.0430547484868398,0.0323437522642982,0.0421170197775184,0.0582295419028573,0.0347732892947098,0.0426679472597998,0.0691445854915564,0.12860186349897,0.0118870859914101,0.0412081313830576,0.0158456162492413,0.1144451873169871,0.1153558796589274,0.0727035761372987,0.0212134976838933,0.0157417256653342,0.216416083524978,0.1435477564613571,0.0575971610005868,0.2525215531106398,
-0.019149086277713,0.0407674790807306,0.0761682105318524,0.0094381300193223,0.0508981475906598,-0.0462558172890984,0.0302010011258322,0.0390643155973442,0.0551918057306856,0.0320868712353148,0.0384354473373645,0.0648597093598872,0.1266337021580979,0.0096812807510955,0.0391662106223257,0.0124134554408375,0.110647294133961,0.1125828904372059,0.0706646595620827,0.0200155292167777,0.0142798827984687,0.2126357179377907,0.1406992330266157,0.0557195897418056,0.2548786672844249,
-0.019833932075612,0.0382313956401328,0.0731544615118392,0.0081792925427975,0.0475689504063861,-0.0493327964481642,0.0283803981356835,0.0362847185038879,0.052205442932763,0.0298157418150068,0.0345875529562651,0.0606527031600571,0.124583789851902,0.0077733818054596,0.0373527198593351,0.0092915874600311,0.1059958232363949,0.1098471581547514,0.0682516126073763,0.0186500904480342,0.0128733573880758,0.2083073653017977,0.1371706288047304,0.0530590425301778,0.2552950754707414,
-0.0202492679450904,0.0358499765541154,0.0701328712602946,0.007001611845415,0.0444880282386758,-0.052221785948062,0.0268866226453397,0.0338165496959987,0.0493565617519078,0.0279821068324606,0.0311773736107847,0.0566226319858554,0.1224483419629634,0.0062018886627249,0.0357767510717359,0.0065533597776969,0.100659774052252,0.1072521279906285,0.0655486191947448,0.0171820487274543,0.0115480586822985,0.203574150797401,0.1330931040156617,0.0497384971827981,0.2538646944704138,
-0.0203974875719621,0.0336872957890043,0.0671933949952879,0.0059272944741603,0.041715091284481,-0.0548770229597817,0.0257081957771677,0.0316811228389532,0.0467154105217885,0.0265883721333194,0.0282368854265303,0.0528516773976629,0.1202200937261046,0.0049878326662847,0.0344368431704485,0.004251545954889,0.0948122901716795,0.1048928520324762,0.0626389836557121,0.0156724805472681,0.0103203917441087,0.1985772077602808,0.1286037994528193,0.0458886817043224,0.2506907669972641,
-0.0202952053370617,0.0317906849875012,0.0644121990553421,0.0049702006443711,0.0392920623972011,-0.0572722313366205,0.0248187748518614,0.0298832300425758,0.0443352548774672,0.0256180795206708,0.0257771529259862,0.0494037905911082,0.1178892043625835,0.0041352343511137,0.033322854129123,0.0024180573002026,0.088625422991164,0.1028519592631976,0.0596024859190897,0.0141767053447163,0.0091971171719439,0.1934519165665429,0.1238410974699831,0.0416435544133504,0.2458812888943121,
-0.0199717793641404,0.0301904010722906,0.0618502632609914,0.0041358080763364,0.0372430774377955,-0.0594011278098032,0.0241787891299761,0.0284120857454058,0.0422518835004159,0.0250373888185542,0.0237892062373749,0.0463239993748039,0.1154440487567514,0.0036321346936604,0.0324179685257648,0.0010643447931036,0.0822651506522413,0.1011960999578131,0.0565130401770197,0.0127426100808225,0.0081755679311922,0.1883245368730055,0.1189400459684163,0.0371358714237744,0.2395453075133082,
-0.019467560408794,0.0288998729687366,0.0595525917365563,0.0034214644343412,0.035575080428299,-0.061277081754938,0.0237373351836031,0.0272426556015312,0.0404837099070546,0.0247970180200403,0.022245498360292,0.0436383443677626,0.1128718745431713,0.0034521160263747,0.0317007108377969,0.0001824254560215,0.0758867867694264,0.0999730312740769,0.0534367225822537,0.0114093122050701,0.0072441972997632,0.183309312420187,0.1140280959055284,0.0324929810149804,0.2317902340339993,
-0.0188319510617324,0.0279164694495598,0.0575480123690091,0.0028169020400005,0.0342789446515754,-0.0629319639932466,0.0234342510737953,0.0263372902418865,0.0390324172317648,0.0248345433312234,0.0211018498939674,0.0413543985314622,0.1101593141084678,0.0035562143309623,0.0311468423380126,-0.0002535518709641,0.0696308941501579,0.0992094821566348,0.0504302127833023,0.0102061929607566,0.006383422488676,0.1785061065041701,0.1092212850870473,0.0278329710199359,0.2227202255772715,
-0.0181213584922365,0.0272227139093032,0.0558495225005455,0.0023049818111356,0.0333310350485795,-0.064414256414805,0.0232022934039564,0.025647581071588,0.037884076227829,0.0250769564484532,0.0202997769734558,0.0394623062163611,0.1072927518602095,0.0038951161004258,0.0307310333955306,-0.0002853005769376,0.0636197976399536,0.098909899949099,0.0475396728418648,0.009152316817432,0.0055667216035595,0.1739986040139086,0.1046209787473833,0.0232612780656926,0.2124356054713788,
